Bairro,Endereco,Preco,Bedroom2,Bathroom
Seaford,42 Mitchell St,1050000,6,4
Greensborough,36 Wahroonga Cr,968000,6,4
Hillside,22 Hillcrest Dr,935000,6,4
Roxburgh Park,12 Stillwell Cr,797500,6,4
Malvern,13 Wilks Av,6300000,5,4
Kew,23 Grange Rd,4850000,5,4
Kew,8 Mawson St,4515000,5,4
St Kilda,10 Charlotte Pl,4400000,5,4
Canterbury,23 Maling Rd,4125000,5,4
Balwyn North,57 Cityview Rd,4050000,5,4
Glen Iris,23 Flowerdale Rd,3860000,5,4
Balwyn,27 Burroughs Rd,3812000,5,4
Beaumaris,19 Bolton St,3778000,5,4
Balwyn,8 Yarrbat Av,3350000,5,4
Balwyn North,5 Mary St,3225000,5,4
Camberwell,22 Kingsley St,3190000,5,4
Alphington,83 Fulham Rd,2840000,5,4
Camberwell,46 Fordham Av,2700000,5,4
Glen Waverley,14 Campbell St,2670000,5,4
Donvale,6 Yileen Ct,2620000,5,4
Hampton,139 Linacre Rd,2520000,5,4
Hampton,39 Crisp St,2500000,5,4
Surrey Hills,545 Whitehorse Rd,2450000,5,4
Templestowe Lower,19 Sunhill Rd,2325000,5,4
Burwood,4 Iris St,2150000,5,4
Templestowe Lower,62 Hodgson St,2080000,5,4
Glen Waverley,13 Avendon Bvd,1950000,5,4
Aberfeldie,10 Caroline St,1830000,5,4
Templestowe Lower,11 Airdrie Ct,1775000,5,4
Bulleen,4 Robinson Gr,1730000,5,4
Glen Waverley,6 Dinadan Ct,1630000,5,4
Blackburn North,22 Charlton St,1570000,5,4
Oak Park,15 Watt Av,1390000,5,4
Rowville,1378 Stud Rd,1055000,5,4
Derrimut,59 Maxwelton Cct,975000,5,4
Glenroy,45 Cosmos St,810000,5,4
Toorak,684 Orrong Rd,5500000,4,4
Brighton,12 Cole St,5500000,4,4
Camberwell,28 Kintore St,5020000,4,4
Brighton,31 Arthur Av,4690000,4,4
Toorak,6 Leighton Ct,4200000,4,4
Aberfeldie,126 The Boulevard,3900000,4,4
Surrey Hills,7 Wandsworth Rd,3851000,4,4
Balwyn North,7 Page St,3690000,4,4
Fitzroy,52 Nicholson St,3310000,4,4
Balwyn North,19 Jacka St,3230000,4,4
Brighton East,9 Montgomery St,2820000,4,4
Brighton East,54 Lucas St,2710000,4,4
Camberwell,20 Morey St,2700000,4,4
Bentleigh,11 Wilson St,2620000,4,4
Brighton East,4 Baird St,2530000,4,4
Kew,51 Princess St,2460000,4,4
Moonee Ponds,25 Mantell St,2400000,4,4
Templestowe,2 Cipora Ct,2300000,4,4
Kew,199 Barkers Rd,2150000,4,4
Mulgrave,10 Adela Ct,2000000,4,4
Doncaster,329 George St,1924500,4,4
Wheelers Hill,11 Petronella Av,1800000,4,4
Doncaster East,7 Daphne St,1760000,4,4
Essendon,137A Bradshaw St,1731000,4,4
Rosanna,14 Milford Gr,1720000,4,4
Box Hill,33 Pendle St,1670000,4,4
Essendon,83 Nimmo St,1600000,4,4
Templestowe Lower,34 Marcus Rd,1585000,4,4
Maribyrnong,45 Magazine Wy,1440000,4,4
Scoresby,103 Berrabri Dr,1358000,4,4
Hughesdale,1/547 Neerim Rd,1340000,4,4
Bentleigh East,2A Barrani St,1325000,4,4
Keilor East,16 Ash Gr,1230000,4,4
Keilor East,20 College Pde,1210000,4,4
Heidelberg,50 Manton St,1115000,4,4
Mount Waverley,21 Roland St,940000,4,4
Mickleham,40 Newmarket Pde,740000,4,4
Kew,3 Stirling St,3276000,3,4
Kew East,62 Munro St,2081000,3,4
Brighton East,1C Baird St,1750800,3,4
Sunshine West,14 Myers St,485000,3,4
Burwood,12 Cumming St,1666766,8,3
Meadow Heights,13 Haddon Ct,741000,8,3
Ringwood,14 Bardia St,1755000,7,3
Brunswick West,2 Henderson St,1205000,7,3
Bentleigh,143 Patterson Rd,1005000,7,3
Deer Park,81 Pioneer Dr,1000000,7,3
Roxburgh Park,5 Thomas St,860000,7,3
Meadow Heights,120 Shankland Bvd,786500,7,3
Brighton,111 Carpenter St,2700000,6,3
Hawthorn East,392 Tooronga Rd,2425000,6,3
Brighton East,9 Violet Cr,2370000,6,3
Glen Iris,26 Parkin St,2245000,6,3
Beaumaris,11 White St,2000000,6,3
Balwyn North,34 Kawarren St,1900000,6,3
Bentleigh,17 Smith St,1900000,6,3
Templestowe,13 Coleridge Ct,1868000,6,3
Templestowe Lower,7 Sassafras Dr,1710000,6,3
Doncaster East,27 Gaudion Rd,1655000,6,3
Forest Hill,15 Hampshire Rd,1620000,6,3
Coburg,1 Balloan St,1455000,6,3
Clayton,22 Evelyn St,1361000,6,3
Forest Hill,2 Thornhill Dr,1234000,6,3
Oakleigh South,12 Cunningham Pl,1210000,6,3
Wantirna South,127 Fraser Cr,1155000,6,3
Keilor East,5 Milleara Rd,1130000,6,3
Eltham North,3 Michael Ct,1115000,6,3
Endeavour Hills,10 Barnsley Dr,1070000,6,3
Craigieburn,42 Excelsior Hts,1000000,6,3
Greensborough,44 Manatunga Cct,990000,6,3
Thomastown,274 Station St,931000,6,3
Keilor,46 Campaspe Cr,889000,6,3
Eltham,17 Beard St,855000,6,3
Sunshine West,6 Beech Ct,720000,6,3
Diggers Rest,6 Tame St,615000,6,3
Werribee,2 Rhine St,591000,6,3
Malvern,6 Moorakyne Av,6600000,5,3
Malvern East,33 Grant St,6125000,5,3
Glen Iris,1 Anthony St,5770000,5,3
Armadale,367 Dandenong Rd,5525000,5,3
Brighton,356 New St,5410000,5,3
St Kilda,18 Crimea St,5046000,5,3
Hawthorn,29 Grove Rd,4630000,5,3
Malvern,2 Embling Rd,4510000,5,3
Kew,9 Ross St,4350000,5,3
Malvern,18 Soudan St,4240000,5,3
Donvale,8 Bernarra Ct,3700000,5,3
Malvern East,2 Finch St,3680000,5,3
Surrey Hills,57 Guildford Rd,3625000,5,3
Brighton,35 Windermere Cr,3600000,5,3
Hawthorn East,8 Campbell Gr,3525500,5,3
Camberwell,4 Marlborough Av,3460000,5,3
Glen Iris,26 Audrey Cr,3400000,5,3
Kew,6 Bowyer Av,3350000,5,3
Warrandyte,261 Tindals Rd,3250000,5,3
Canterbury,125 Canterbury Rd,3230000,5,3
Hawthorn East,452 Barkers Rd,3210000,5,3
Hampton,75 Crisp St,3201000,5,3
Glen Iris,33 Rosedale Rd,3085000,5,3
Hampton,107 Willis St,2980000,5,3
Canterbury,13 Byron St,2930000,5,3
Aberfeldie,5 Rita St,2905000,5,3
Moonee Ponds,104 Park St,2760000,5,3
Brighton East,86 Glencairn Av,2750000,5,3
Beaumaris,21 Hardinge St,2750000,5,3
Brighton,97 Dendy St,2730000,5,3
Strathmore,222 Woodland St,2650000,5,3
Surrey Hills,20 Everton Gr,2630000,5,3
Ivanhoe,6 Fairy St,2600000,5,3
Glen Huntly,27 Augusta St,2575000,5,3
Balwyn,17 Percy St,2562000,5,3
Balwyn,25 Percy St,2550000,5,3
Brighton East,50 Lucas St,2550000,5,3
Brunswick,11 Heller St,2545000,5,3
Camberwell,36 Morey St,2540000,5,3
Rosanna,1 Hillside Rd,2530000,5,3
Black Rock,31 Third St,2520000,5,3
Bentleigh,31 Gilmour Rd,2478000,5,3
Carlton North,271 Canning St,2450000,5,3
Beaumaris,6 Harfleur Av,2350000,5,3
Moonee Ponds,44 Vine St,2340000,5,3
Malvern,3/197 Wattletree Rd,2325000,5,3
Berwick,18 Casey Dr,2300000,5,3
Sandringham,121 Sandringham Rd,2290000,5,3
Lower Plenty,68 Rosehill Rd,2287500,5,3
Box Hill,43 Rose St,2285000,5,3
Bentleigh,12 Miles St,2275000,5,3
Sandringham,76 Vincent St,2255000,5,3
Sandringham,2 Trentham St,2220000,5,3
Essendon,35 Washington St,2210000,5,3
Northcote,7 Wilmoth St,2210000,5,3
Glen Waverley,2 Louise Ct,2202000,5,3
Hampton,104 Linacre Rd,2200000,5,3
Essendon,46 Salmon Av,2200000,5,3
Glen Iris,56 Gardiner Pde,2175000,5,3
Bentleigh East,15 Molden St,2125000,5,3
Templestowe,19 Wensley Ct,2102000,5,3
Glen Iris,21 Park Rd,2100000,5,3
Ascot Vale,8 Anderson St,2100000,5,3
Bentleigh,5 Whitmuir Rd,2050000,5,3
Brighton East,16 Bruce St,2050000,5,3
Williamstown,10 Crofton Dr,2040000,5,3
Essendon,59 McCracken St,2020000,5,3
Brunswick,56 Barrow St,2020000,5,3
Williamstown,13 Kingshott Cl,2020000,5,3
Templestowe,303 Church Rd,2008000,5,3
Blackburn South,28 Samuel Rd,1955000,5,3
Balwyn North,17 Vicars St,1951000,5,3
Balwyn North,14 Wanbrow Av,1950000,5,3
Nunawading,3 Morden Ct,1950000,5,3
Ashburton,8 Maxwell St,1950000,5,3
Box Hill,39 Court St,1941000,5,3
Templestowe,36 Newmans Rd,1930000,5,3
Ashburton,11 Duke St,1930000,5,3
Williamstown,2 Hoffman Tce,1924000,5,3
Balwyn North,23A The Boulevard,1920000,5,3
Donvale,10 Ellerton Ct,1898000,5,3
Essendon,112 Primrose St,1890000,5,3
Mount Waverley,11B Avondale Gr,1856000,5,3
Surrey Hills,1 Oak St,1825000,5,3
Doncaster,13 Winbrook Ct,1820000,5,3
Wonga Park,10 Paynters Rd,1815000,5,3
Essendon,18 Washington St,1811000,5,3
Coburg,24 Florence St,1790000,5,3
Strathmore,2 Henshall Rd,1780000,5,3
Beaumaris,14 Cavell Ct,1780000,5,3
Highett,24 View St,1776000,5,3
Bulleen,1 Coromandel Ct,1748000,5,3
Northcote,29 Traill St,1700000,5,3
Hawthorn East,748 Burwood Rd,1700000,5,3
Murrumbeena,6 Kirkham Rd,1700000,5,3
Mount Waverley,15 Gross Ct,1696000,5,3
Balwyn North,211 Doncaster Rd,1683000,5,3
Yallambie,8 MacAlister Bvd,1670000,5,3
Glen Waverley,29 Brighton St,1670000,5,3
Bentleigh East,1 Vine Ct,1669000,5,3
Bentleigh,44 Whitmuir Rd,1660000,5,3
Camberwell,23 Acheron Av,1660000,5,3
Carnegie,58 Rosanna St,1630000,5,3
Maribyrnong,6 High Ct,1620000,5,3
Essendon,6 Fitzgerald Rd,1607500,5,3
Ashburton,48 Nicholas St,1600000,5,3
Mount Waverley,26 Malcolm Ct,1600000,5,3
Wheelers Hill,11 Bluegum Av,1591000,5,3
Essendon,8 Ogilvie St,1565000,5,3
Glen Waverley,1 Vine Ct,1560000,5,3
Essendon,50 Fitzgerald Rd,1560000,5,3
Essendon,58a Nimmo St,1556000,5,3
Bentleigh East,3 Molden St,1550000,5,3
Box Hill,20A Barkly St,1540000,5,3
Doncaster,5 Alma Ct,1530000,5,3
Ashwood,16 Scenic Dr,1529500,5,3
Dingley Village,22 Bayville Dr,1526000,5,3
Altona,59 Bracken Gr,1525000,5,3
Oakleigh East,1725 Dandenong Rd,1525000,5,3
Templestowe Lower,11 Oak Cr,1506000,5,3
Bundoora,54 Linacre Dr,1505000,5,3
Pascoe Vale,5 Fleming Gr,1501000,5,3
Mickleham,50 Callaway Dr,1500000,5,3
Bulleen,9 Albany Pl,1490000,5,3
Wheelers Hill,6 Reynolds Av,1490000,5,3
Aberfeldie,18 Valencia St,1472000,5,3
Bundoora,7 Hanover Rd,1470000,5,3
Brunswick West,11 Culloden St,1450000,5,3
Strathmore,25 Hayes Rd,1440000,5,3
Wantirna,58 Raheen Av,1430000,5,3
Clarinda,11 Christopher Ct,1425000,5,3
Ivanhoe,35 Green St,1420000,5,3
Seaholme,13 Sussex St,1415000,5,3
Doncaster,36 Henry St,1400000,5,3
Templestowe Lower,50 Caroline Dr,1400000,5,3
St Helena,11 Erinne Ct,1387000,5,3
Oakleigh South,9 Glennie Av,1361000,5,3
Essendon North,64 Kerferd St,1360000,5,3
Vermont South,10 Shearers Ct,1360000,5,3
Cheltenham,46 Snowdon Dr,1360000,5,3
New Gisborne,71 Hamilton Rd,1355000,5,3
Oakleigh,24 Gadd St,1351000,5,3
Maidstone,4 Maple St,1350000,5,3
Maribyrnong,1 The Esplanade,1350000,5,3
Preston,173 Raglan St,1350000,5,3
Bulleen,4 Greenhill Ct,1336000,5,3
Coburg,21 Governors Rd,1335000,5,3
Doncaster East,5 Ryder Ct,1330000,5,3
Donvale,30 Leslie St,1328000,5,3
Ascot Vale,93 Epsom Rd,1325000,5,3
Glen Waverley,94 Herriotts Bvd,1320000,5,3
Wantirna South,11 Kirrum Cl,1310000,5,3
Oak Park,11 Xavier St,1306000,5,3
Mordialloc,52 Scarlet St,1300000,5,3
Kingsbury,26 Stymie St,1250000,5,3
Wantirna South,79 Somes St,1235000,5,3
Ringwood,13 James St,1230000,5,3
Wheelers Hill,49 Phoenix Dr,1223000,5,3
Newport,83 Challis St,1220000,5,3
Forest Hill,2 Quentin St,1205000,5,3
Vermont South,30 Wildwood Av,1203000,5,3
Altona North,4 Huxtable Av,1201000,5,3
Coburg North,141 Elizabeth St,1190000,5,3
Croydon,6 Webster Av,1180000,5,3
Montmorency,11 Luisa Ct,1180000,5,3
Coburg North,27 Snapshot Dr,1172000,5,3
Greenvale,7 Murray Ct,1170000,5,3
Rosanna,7 Pilgrim Ct,1170000,5,3
Lower Plenty,4 Keating Ct,1170000,5,3
Warrandyte,8 Alan Pl,1162000,5,3
Dingley Village,8 Mungari St,1105000,5,3
Ferntree Gully,50 Carlisle Rd,1100000,5,3
Doreen,27 Vidler Av,1100000,5,3
Altona North,45 Hearn St,1085000,5,3
Hadfield,58 Sutherland St,1077500,5,3
Viewbank,43 Eamon Dr,1050000,5,3
Heidelberg,36 Buckingham Dr,1030000,5,3
Viewbank,24 Northwood Dr,1025000,5,3
Oak Park,10 Magnolia St,1005000,5,3
Croydon,9 The Pass,997000,5,3
Yallambie,21 Lowan Av,990000,5,3
Ivanhoe,9 Cook St,981000,5,3
Montmorency,8 Aanensen Ct,980000,5,3
Clarinda,8 Elliminya Ct,976000,5,3
Rowville,38 Armstrong Dr,970000,5,3
Dingley Village,22 Shannon Ct,955000,5,3
Chelsea Heights,7 Snipe Cl,941000,5,3
Greenvale,78 Kirkham Dr,940000,5,3
Bundoora,8 Cabernet Cr,940000,5,3
Knoxfield,6 Honeypot Cl,935000,5,3
Reservoir,30 Davidson St,925000,5,3
South Morang,184 Meridian Dr,920000,5,3
Springvale,42 Avondale St,917000,5,3
Strathmore,10 Roslyn St,915000,5,3
Reservoir,69 Chauvel St,912000,5,3
Viewbank,3 Norma Ct,895000,5,3
Greenvale,15 Burbridge Dr,888000,5,3
Endeavour Hills,13 Wilkinson Wy,878000,5,3
Reservoir,39 Gertz Av,861000,5,3
Braybrook,18 Kannan Bvd,818000,5,3
Glen Waverley,5 Wilfred Ct,815000,5,3
Mill Park,1 Greenway Dr,815000,5,3
Werribee,34 Westleigh Dr,815000,5,3
South Morang,6 Jindabyne Av,810000,5,3
Dandenong North,26 Blaxland Dr,775000,5,3
Airport West,6 Kittyhawk St,773000,5,3
Taylors Hill,6 Hobart Wy,725500,5,3
Taylors Lakes,45 Salamander Dr,725000,5,3
Mill Park,15 Mockridge Dr,704500,5,3
Sunbury,3 Paperbark Av,675000,5,3
Roxburgh Park,16 Pickersgill Cr,675000,5,3
Epping,1 Simon Ct,660000,5,3
Frankston,115 Heatherhill Rd,655888,5,3
St Albans,25 Harris St,620000,5,3
Wallan,27 Augusta Wy,600000,5,3
Mill Park,53 Romano Av,598000,5,3
South Morang,3 McArthurs Rd,597000,5,3
Craigieburn,11 Abbott Ct,554000,5,3
Middle Park,307 Beaconsfield Pde,6370000,4,3
Malvern,6B Henderson Av,5040000,4,3
Canterbury,42 Parlington St,4750000,4,3
Malvern,312 Glenferrie Rd,4700000,4,3
East Melbourne,40 Berry St,4550000,4,3
Canterbury,3 Monomeath Pl,4350000,4,3
Brighton,11 Foote St,4250000,4,3
Toorak,45 Heyington Pl,4111000,4,3
Camberwell,78 Bowen St,4060000,4,3
Malvern,20 Coonil Cr,4050000,4,3
Fitzroy,17 Bell St,4011000,4,3
Parkville,21 Morrah St,3970000,4,3
Hawthorn East,18 Bluff St,3950000,4,3
Canterbury,51 Mangarra Rd,3888000,4,3
Glen Iris,166 Finch St,3845000,4,3
South Melbourne,173 Nelson Rd,3825000,4,3
Malvern,41 Horace St,3800000,4,3
Brighton,20 Victoria St,3775000,4,3
Brighton,18 Victoria St,3700000,4,3
Brighton,17 McCallum St,3695000,4,3
Malvern East,13 Emo Rd,3680000,4,3
Armadale,61 Union St,3660000,4,3
St Kilda,18/21 Marine Pde,3610000,4,3
Malvern East,8 Vickery St,3600000,4,3
Brighton,112 Dendy St,3590000,4,3
Fitzroy,423 Napier St,3575000,4,3
Brighton,13 Orchard St,3520000,4,3
Malvern,50 Hunter St,3470000,4,3
Surrey Hills,15 Albany Cr,3445000,4,3
Balwyn North,17 Stephens St,3360000,4,3
Hampton,53 Bridge St,3325000,4,3
Brighton,73 Martin St,3320000,4,3
Brighton East,78 Glencairn Av,3320000,4,3
Brighton,95 Cochrane St,3295888,4,3
Balwyn,262 Union Rd,3290000,4,3
Hampton,36 Thomas St,3250000,4,3
Camberwell,25 Russell St,3225000,4,3
Brighton,7 Stanley St,3225000,4,3
Glen Iris,10 Howard St,3200000,4,3
Balwyn,18 Fitzgerald St,3180000,4,3
Brighton,115 Dendy St,3180000,4,3
Malvern,42 McKinley Av,3100000,4,3
Hawthorn East,18 Carlyle St,3050000,4,3
Elwood,34 Foam St,3040000,4,3
Clifton Hill,32 Caroline St,3010000,4,3
Malvern East,3 Rothesay Av,2990000,4,3
Glen Iris,26 Gardiner Pde,2975000,4,3
Malvern,12 Wheatland Rd,2940000,4,3
North Melbourne,10 Canning St,2920000,4,3
Hawthorn East,5 Nicholson St,2920000,4,3
Glen Iris,1 Estella St,2920000,4,3
Balwyn North,15 Moody St,2910000,4,3
Brighton,133 Head St,2905000,4,3
Hampton,22 Margarita St,2880000,4,3
Middle Park,84 Hambleton St,2860000,4,3
Glen Iris,34 Yeovil Rd,2850000,4,3
Elsternwick,20 Shoobra Rd,2806000,4,3
Hawthorn,13 Yarra St,2800000,4,3
Brighton,34 Moffat St,2770000,4,3
Canterbury,23 Margaret St,2750000,4,3
Balwyn,38 Frederick St,2730000,4,3
Glen Iris,78 Valley Pde,2725000,4,3
Surrey Hills,74 Union Rd,2725000,4,3
Brighton East,9 Baird St,2720000,4,3
Albert Park,8 Graham St,2720000,4,3
Surrey Hills,20 Albert Cr,2720000,4,3
Black Rock,211 Beach Rd,2720000,4,3
Bentleigh,37 Godfrey St,2700000,4,3
Northcote,81 Mitchell St,2700000,4,3
Port Melbourne,130 Clark St,2700000,4,3
Kew,157 Wellington St,2695000,4,3
South Yarra,7 Motherwell St,2667000,4,3
Balwyn,25 Kalimna St,2665000,4,3
Donvale,41 Garden Rd,2660000,4,3
Ashburton,61 Dent St,2650000,4,3
Balwyn,8 Monash Av,2650000,4,3
Malvern East,67 Manning Rd,2626000,4,3
Kew,6 Birrell Ct,2625000,4,3
Ivanhoe,4 Waterdale Rd,2595000,4,3
Ivanhoe,103 The Boulevard,2579500,4,3
Brighton East,23 Camperdown St,2570000,4,3
Essendon,24 Cudmore St,2520000,4,3
Brighton,8 Berwick St,2451000,4,3
Glen Iris,1 Hillcrest Rd,2450000,4,3
Surrey Hills,36 Banool Rd,2440000,4,3
Williamstown,11 Sandpiper Pl,2440000,4,3
Brighton,3 Hayball Ct,2415000,4,3
Brighton,7 Oak Gr,2410000,4,3
Kew,14 Atkins St,2375000,4,3
Balwyn,54 Northcote Av,2360000,4,3
Hawthorn,357 Auburn Rd,2325000,4,3
Bentleigh,104 Brewer Rd,2310000,4,3
Eaglemont,20 Glenard Dr,2309000,4,3
Hawthorn,2 Rosney St,2300000,4,3
Port Melbourne,273 Ross St,2300000,4,3
Kew,33 Argyle Rd,2286000,4,3
Bentleigh,9 Yawla St,2260000,4,3
Bentleigh,9 Yawla St,2255000,4,3
Kew,49 Princess St,2250000,4,3
Northcote,3 Oamaru St,2250000,4,3
Kew,47 Kellett Gr,2245000,4,3
Ashburton,23 Solway St,2220000,4,3
Balwyn,1/4 Birtles Ct,2220000,4,3
Bentleigh,4 Clairmont Av,2210000,4,3
Gardenvale,25 Magnolia Rd,2200000,4,3
Beaumaris,13 Bodley St,2200000,4,3
Williamstown,119 Hannan St,2200000,4,3
Hughesdale,11 Euston Rd,2190000,4,3
South Melbourne,315 Moray St,2180000,4,3
Surrey Hills,16 Norris St,2170000,4,3
Glen Iris,15 Renwick St,2165000,4,3
Bentleigh,192 Tucker Rd,2151000,4,3
Brighton East,25 Robinson St,2150000,4,3
Box Hill,36 Ashted Rd,2128888,4,3
Surrey Hills,112 Croydon Rd,2128000,4,3
Doncaster,2 Idinia Ct,2123500,4,3
Malvern East,69 Beaver St,2123000,4,3
Surrey Hills,7 Sythney Ct,2100000,4,3
Ivanhoe,11 Abbotsford Gr,2090000,4,3
Malvern East,14 Fountaine Av,2090000,4,3
Carlton,95 Neill St,2061000,4,3
Hawthorn,3 Johnson St,2053000,4,3
Eaglemont,61 Glenard Dr,2050000,4,3
Balwyn North,16 Burton St,2050000,4,3
Kew,5 Regency Gr,2045000,4,3
Caulfield South,349 Bambra Rd,2040000,4,3
Brighton,2/160 Church St,2020000,4,3
Eaglemont,13 Warne St,2012000,4,3
Burwood,7 Wattlebird Ct,2000000,4,3
Doncaster,1 Graeme Cl,2000000,4,3
South Melbourne,320 Dorcas St,2000000,4,3
Camberwell,34 Morey St,1980000,4,3
Balwyn North,286 Balwyn Rd,1950000,4,3
Ashburton,21 Warner Av,1920000,4,3
Port Melbourne,66 Dunstan Pde,1915000,4,3
Highett,17 Nicol St,1911000,4,3
Surrey Hills,3 Arthur St,1910000,4,3
Essendon,15 Daisy St,1910000,4,3
Brunswick East,6 Rupert St,1895000,4,3
Balwyn North,35 Sylvander St,1890000,4,3
Camberwell,13 Webster St,1890000,4,3
Beaumaris,180 Tramway Pde,1880000,4,3
Fitzroy North,171 Scotchmer St,1870000,4,3
Camberwell,1 Westbourne Gr,1870000,4,3
Eaglemont,67 Banksia St,1867000,4,3
Ascot Vale,44 The Parade,1850000,4,3
Ashwood,41 Closter Av,1850000,4,3
Ormond,58 Draper St,1845000,4,3
South Melbourne,70 Nelson Rd,1840000,4,3
Kew East,5 Fairway Dr,1837500,4,3
Bonbeach,16B Newberry Av,1830000,4,3
Bentleigh East,12 Kennedy St,1815000,4,3
Surrey Hills,29 Essex Rd,1810000,4,3
Brunswick,9 Blair St,1802500,4,3
Glen Iris,59 Staughton Rd,1802000,4,3
Mentone,34 Mundy St,1800000,4,3
Ivanhoe East,333 The Boulevard,1797000,4,3
Brunswick,24 Mitchell St,1790000,4,3
Doncaster,5 Robin Ct,1782000,4,3
Moonee Ponds,69 Aberfeldie St,1780000,4,3
Maribyrnong,5 Scenic Pl,1770000,4,3
Maribyrnong,26 Oakland St,1765000,4,3
Bundoora,45 Worcester Cr,1755000,4,3
Niddrie,27 The Avenue,1751000,4,3
Bulleen,3 Coromandel Ct,1751000,4,3
Kew,18 Collins St,1750000,4,3
Bentleigh,15A Windsor Av,1750000,4,3
Essendon,132a Ogilvie St,1750000,4,3
Hampton,49 Service St,1740000,4,3
Ivanhoe East,41 McArthur Rd,1740000,4,3
Hawthorn East,1/36 Pleasant Rd,1738000,4,3
Glen Iris,65 Renwick St,1735000,4,3
Templestowe,6 Kingburn Ct,1731500,4,3
Mount Waverley,85 Waimarie Dr,1728000,4,3
Malvern East,2 Rotherwood Dr,1715157,4,3
Strathmore,6 Prefect St,1715000,4,3
Brighton East,38 Agnew St,1710000,4,3
Northcote,38 Whalley St,1700000,4,3
Blackburn,48 Elder St,1695000,4,3
Kew,43 Fernhurst Gr,1690000,4,3
Balwyn North,16 Sylvan St,1680000,4,3
Ashwood,47 Ashwood Dr,1680000,4,3
Alphington,22 Harker St,1680000,4,3
Caulfield South,34B Marara Rd,1675000,4,3
Sandringham,7 Duff St,1665000,4,3
Doncaster,10 Margot Av,1663000,4,3
Ashburton,93A Ashburn Gr,1655000,4,3
Aberfeldie,40 Clifton St,1646000,4,3
Ascot Vale,7 Angler Pde,1640000,4,3
Templestowe,7 Clays Ct,1635000,4,3
Malvern East,57 Midlothian St,1632500,4,3
Port Melbourne,32 Page Av,1631000,4,3
Williamstown,48 Smith Av,1630000,4,3
Strathmore,68 Bournian Av,1625000,4,3
Newport,75 Woods St,1620000,4,3
Mordialloc,71 McDonald St,1617000,4,3
South Melbourne,18a Iffla St,1615000,4,3
Strathmore,5 Kilburn St,1610000,4,3
Strathmore,18 Houston Av,1610000,4,3
Ivanhoe,14 Tate St,1601000,4,3
Murrumbeena,9A Narbethong Rd,1601000,4,3
Doncaster East,345 Serpells Rd,1600000,4,3
Balwyn North,28 Carron St,1593000,4,3
Burwood,15 Loudon Rd,1590000,4,3
Essendon,125a Ogilvie St,1590000,4,3
Malvern East,53a Bowen St,1575000,4,3
Balwyn North,14 Hedderwick St,1550000,4,3
Doncaster,45 Bordeaux St,1545000,4,3
Abbotsford,31 Turner St,1542000,4,3
Highett,2 Dalmont St,1535000,4,3
Burwood,58 Eley Rd,1535000,4,3
Mentone,83 Collins St,1530000,4,3
Moonee Ponds,46 Eglinton St,1525000,4,3
Doncaster,12 Norfolk Cct,1520000,4,3
Ashburton,2/6 Ramu Gr,1520000,4,3
Bentleigh East,1 Melva St,1515000,4,3
Templestowe Lower,97 Foote St,1515000,4,3
Malvern East,15 Winton Rd,1510000,4,3
Bulleen,28 Rocklea Rd,1505000,4,3
Mordialloc,46 Barkly St,1500000,4,3
Wheelers Hill,99 Grandview Rd,1480000,4,3
Bentleigh,33A McKittrick Rd,1470000,4,3
Strathmore,52a Carnarvon Rd,1470000,4,3
Doncaster,46 Winston Dr,1462500,4,3
